id;ident;type;name;latitude_deg;longitude_deg;elevation_ft;continent;iso_country;iso_region;municipality;scheduled_service;icao_code;iata_code;gps_code;local_code;home_link;wikipedia_link;keywords
3730;KNIP;medium_airport;Jacksonville Naval Air Station (Towers Field);302.358;-81.680.603;21;NA;US;US-FL;Jacksonville;no;KNIP;NIP;KNIP;NIP;;https://en.wikipedia.org/wiki/Naval_Air_Station_Jacksonville;
3731;KNJK;medium_airport;El Centro NAF Airport (Vraciu Field);32.829.201;-115.671.996;-42;NA;US;US-CA;El Centro;no;KNJK;NJK;KNJK;NJK;https://www.cnic.navy.mil/regions/cnrsw/installations/naf_el_centro.html;https://en.wikipedia.org/wiki/Naval_Air_Facility_El_Centro;Naval Air Facility El Centro, MCAS El Centro
3733;KNKX;medium_airport;Miramar Marine Corps Air Station - Mitscher Field;3.286.840.057;-1.171.429.977;477;NA;US;US-CA;San Diego;no;KNKX;NKX;KNKX;NKX;http://www.miramar.marines.mil/;https://en.wikipedia.org/wiki/Marine_Corps_Air_Station_Miramar;Miramar MCAS
3735;KNPA;medium_airport;Naval Air Station Pensacola Forrest Sherman Field;30.352.699;-87.318.604;28;NA;US;US-FL;Pensacola;no;KNPA;NPA;KNPA;NPA;http://www.cnic.navy.mil/regions/cnrse/installations/nas_pensacola.html;https://en.wikipedia.org/wiki/Naval_Air_Station_Pensacola;NAS, KNAS
3736;KNQA;medium_airport;Millington-Memphis Airport;35.356.701;-898.703;320;NA;US;US-TN;Millington;no;KNQA;NQA;KNQA;NQA;https://millingtonairport.com/;https://en.wikipedia.org/wiki/Millington-Memphis_Airport;Millington Municipal, NAS Memphis, Millington Regional Jetport
20652;KNRB;medium_airport;Naval Station Mayport / Admiral David L McDonald Field;303.911;-81.424.698;15;NA;US;US-FL;Jacksonville;no;KNRB;NRB;KNRB;NRB;http://www.cnic.navy.mil/regions/cnrse/installations/ns_mayport.html;https://en.wikipedia.org/wiki/Naval_Station_Mayport;
3739;KNTD;medium_airport;Point Mugu Naval Air Station (Naval Base Ventura Co);34.120.300.293;-119.121.002.197;13;NA;US;US-CA;Point Mugu;no;KNTD;NTD;KNTD;NTD;;https://en.wikipedia.org/wiki/Naval_Air_Station_Point_Mugu;
3740;KNTU;medium_airport;Oceana Naval Air Station;36.820.702;-76.033.501;23;NA;US;US-VA;Virginia Beach;no;KNTU;NTU;KNTU;NTU;;https://en.wikipedia.org/wiki/Naval_Air_Station_Oceana;Apollo Soucek Field
3961;KNYL;medium_airport;Yuma International Airport / Marine Corps Air Station Yuma;32.650.938;-114.609.375;213;NA;US;US-AZ;Yuma;yes;KNYL;YUM;KNYL;NYL;;https://en.wikipedia.org/wiki/Yuma_International_Airport;Yuma MCAS, Yuma Marine Corps Air Station, Formerly KYUM
3743;KNZY;medium_airport;North Island Naval Air Station-Halsey Field;3.269.919.968;-1.172.149.963;26;NA;US;US-CA;San Diego;no;KNZY;NZY;KNZY;NZY;;https://en.wikipedia.org/wiki/Naval_Air_Station_North_Island;
3744;KOAK;large_airport;San Francisco Bay Oakland International Airport;37.720.085;-122.221.184;9;NA;US;US-CA;Oakland;yes;KOAK;OAK;KOAK;OAK;https://www.iflyoak.com/;https://en.wikipedia.org/wiki/Oakland_International_Airport;Metro Oakland International
3745;KOFF;medium_airport;Offutt Air Force Base;41.119.307;-9.590.851;1052;NA;US;US-NE;Omaha;no;KOFF;OFF;KOFF;OFF;http://www.offutt.af.mil/;https://en.wikipedia.org/wiki/Offutt_Air_Force_Base;
20722;KOFK;medium_airport;Karl Stefan Memorial Airport;41.985.500.335.693;-97.435.096.740.723;1573;NA;US;US-NE;Norfolk;no;KOFK;OFK;KOFK;OFK;http://www.norfolkairportservices.com/default.htm;https://en.wikipedia.org/wiki/Norfolk_Regional_Airport;
20725;KOGB;medium_airport;Orangeburg Municipal Airport;33.456.798.553.467;-80.859.497.070.312;195;NA;US;US-SC;Orangeburg;no;KOGB;OGB;KOGB;OGB;http://www.orangeburg.sc.us/index.php?option=com_content&view=article&id=18&Itemid=69;https://en.wikipedia.org/wiki/Orangeburg_Municipal_Airport;
3746;KOGD;medium_airport;Ogden Hinckley Airport;41.195.899.963.379;-1.120.120.010.376;4473;NA;US;US-UT;Ogden;yes;KOGD;OGD;KOGD;OGD;http://flyogden.com/;https://en.wikipedia.org/wiki/Ogden-Hinckley_Airport;
20727;KOGS;medium_airport;Ogdensburg International Airport;446.819;-754.655;297;NA;US;US-NY;Ogdensburg;yes;KOGS;OGS;KOGS;OGS;https://ogsair.com/;https://en.wikipedia.org/wiki/Ogdensburg_International_Airport;
3749;KOLM;medium_airport;Olympia Regional Airport;46.969.399;-122.903;209;NA;US;US-WA;Olympia;yes;KOLM;OLM;KOLM;OLM;;https://en.wikipedia.org/wiki/Olympia_Airport;
20741;KOLS;medium_airport;Nogales International Airport;314.177;-110.848;3955;NA;US;US-AZ;Nogales;no;KOLS;OLS;KOLS;OLS;;https://en.wikipedia.org/wiki/Nogales_International_Airport;
3750;KOLU;medium_airport;Columbus Municipal Airport;41.448.145;-97.340.174;1447;NA;US;US-NE;Columbus;no;KOLU;OLU;KOLU;OLU;;https://en.wikipedia.org/wiki/Columbus_Municipal_Airport_(Nebraska);
3751;KOMA;large_airport;Eppley Airfield;413.032;-95.894.096;984;NA;US;US-NE;Omaha;yes;KOMA;OMA;KOMA;OMA;https://www.flyoma.com;https://en.wikipedia.org/wiki/Eppley_Airfield;
20751;KONO;medium_airport;Ontario Municipal Airport;440.198;-117.013.289;2193;NA;US;US-OR;Oregon;no;KONO;ONO;KONO;ONO;https://www.ontariooregon.org/airport.html;https://en.wikipedia.org/wiki/Ontario_Municipal_Airport;
3752;KONT;large_airport;Ontario International Airport;34.056;-117.600.998;944;NA;US;US-CA;Ontario;yes;KONT;ONT;KONT;ONT;https://www.flyontario.com/;https://en.wikipedia.org/wiki/LA/Ontario_International_Airport;
