"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","icao_code","iata_code","gps_code","local_code","home_link","wikipedia_link","keywords"
4707,"MMDO","large_airport","General Guadalupe Victoria International Airport","24,125468","-104,527938",6104,"NA","MX","MX-DUR","Durango","yes","MMDO","DGO","MMDO",,,"https://en.wikipedia.org/wiki/General_Guadalupe_Victoria_International_Airport","Aeropuerto Internacional General Guadalupe Victoria"
4708,"MMEP","medium_airport","Amado Nervo National Airport","21,419833","-104,842472",3020,"NA","MX","MX-NAY","Tepic","yes","MMEP","TPQ","MMEP","TNY","http://tepic.asa.gob.mx/wb/webasa/tepic_aeropuertos","https://en.wikipedia.org/wiki/Amado_Nervo_National_Airport","Tepic Airport"
4710,"MMGL","large_airport","Guadalajara International Airport","20,523342","-103,310108",5016,"NA","MX","MX-JAL","Guadalajara","yes","MMGL","GDL","MMGL","GDL","https://www.aeropuertosgap.com.mx/es/guadalajara","https://en.wikipedia.org/wiki/Don_Miguel_Hidalgo_y_Costilla_International_Airport","Miguel Hidalgo y Costilla Guadalajara"
4711,"MMGM","medium_airport","General JosÃ© MarÃ­a YÃ¡Ã±ez International Airport","27,96899986","-110,9250031",59,"NA","MX","MX-SON","Guaymas","yes","MMGM","GYM","MMGM",,"http://guaymas.asa.gob.mx/wb/webasa/guaymas_aeropuertos","https://en.wikipedia.org/wiki/General_Jos%C3%A9_Mar%C3%ADa_Y%C3%A1%C3%B1ez_International_Airport",
4713,"MMHO","medium_airport","General Ignacio P. Garcia International Airport","29,093527","-111,049891",627,"NA","MX","MX-SON","Hermosillo","yes","MMHO","HMO","MMHO",,,"https://en.wikipedia.org/wiki/General_Ignacio_Pesqueira_Garcia_International_Airport",
4714,"MMIA","medium_airport","Licenciado Miguel de la Madrid International Airport","19,277","-103,577002",2467,"NA","MX","MX-COL","Colima","yes","MMIA","CLQ","MMIA","COL",,"https://en.wikipedia.org/wiki/Lic._Miguel_de_la_Madrid_Airport","Aeropuerto Internacional Licenciado Miguel de la Madrid, Colima Airport"
4716,"MMIO","medium_airport","Plan De Guadalupe International Airport","25,544145","-100,930195",4778,"NA","MX","MX-COA","Saltillo","no","MMIO","SLW","MMIO",,,"https://en.wikipedia.org/wiki/Plan_de_Guadalupe_International_Airport",
4717,"MMIT","medium_airport","General Antonio CÃ¡rdenas RodrÃ­guez National Airport / Ixtepec Air Base","16,445961","-95,093708",164,"NA","MX","MX-OAX","Ixtepec","yes","MMIT","IZT","MMIT",,,"https://en.wikipedia.org/wiki/Ixtepec_Airport","Aeropuerto Nacional General Antonio CÃ¡rdenas RodrÃ­guez"
4718,"MMJA","medium_airport","El Lencero Airport","19,475107","-96,797008",3127,"NA","MX","MX-VER","Emiliano Zapata","no","MMJA","JAL","MMJA",,,"https://en.wikipedia.org/wiki/El_Lencero_Airport","Xalapa"
4720,"MMLC","medium_airport","LÃ¡zaro CÃ¡rdenas Airport","18,001672","-102,220316",39,"NA","MX","MX-MIC","LÃ¡zaro CÃ¡rdenas","no","MMLC","LZC","MMLC",,,"https://en.wikipedia.org/wiki/L%C3%A1zaro_C%C3%A1rdenas_Airport",
4721,"MMLM","medium_airport","Valle del Fuerte International Airport","25,685447","-109,081055",16,"NA","MX","MX-SIN","Los Mochis","yes","MMLM","LMM","MMLM",,"http://aeropuertosgap.com.mx/english/index-site.html","https://en.wikipedia.org/wiki/Federal_del_Valle_del_Fuerte_International_Airport",
